PC=00000270, REG[23]=00000000
PC=00000274, REG[24]=00000000
PC=00000278, REG[25]=00000000
PC=0000027c, REG[ 2]=00010000
PC=00000280, ---
PC=00000090, REG[ 2]=00010090
PC=00000094, REG[ 2]=00010000
PC=00000098, ---
PC=0000009c, ---
PC=000000a0, ---
