PC=0000034c, REG[11]=4c957f2d
PC=00000350, REG[13]=75e98187
PC=00000354, REG[14]=0d1f0796
PC=00000358, REG[15]=08e0bdbb
PC=0000035c, REG[12]=08e0bdbc
PC=00000360, REG[15]=00000000
PC=00000364, ---
PC=00000368, REG[12]=5851f000
PC=0000036c, REG[12]=5851f42d
PC=00000370, REG[12]=ad3770bb
PC=00000374, REG[14]=a585bf5e
PC=00000378, REG[13]=23462df0
PC=0000037c, REG[14]=52bd3019
PC=00000380, REG[14]=76035e09
PC=00000384, REG[15]=76035e09
PC=00000388, REG[10]=ec06bc12
PC=0000038c, ---
PC=00000390, REG[10]=76035e09
PC=00000394, ---
PC=0000028c, REG[15]=0000fbe4
PC=00000290, REG[10]=00005e09
PC=00000294, ---
PC=00000298, REG[ 1]=00000298
PC=0000029c, REG[ 1]=000002a0
PC=00000340, REG[15]=00001000
PC=00000344, REG[16]=00000400
PC=00000348, REG[11]=4c958000
PC=0000034c, REG[11]=4c957f2d
PC=00000350, REG[13]=08e0bdbc
PC=00000354, REG[14]=76035e09
PC=00000358, REG[15]=4c0d9e0c
PC=0000035c, REG[12]=4c0d9e0d
PC=00000360, REG[15]=00000000
PC=00000364, ---
PC=00000368, REG[12]=5851f000
PC=0000036c, REG[12]=5851f42d
PC=00000370, REG[12]=6cd48a0c
PC=00000374, REG[14]=d17afe95
PC=00000378, REG[13]=02a7e78b
PC=0000037c, REG[14]=3e4f88a1
PC=00000380, REG[14]=40f7702c
PC=00000384, REG[15]=40f7702c
PC=00000388, REG[10]=81eee058
PC=0000038c, ---
PC=00000390, REG[10]=40f7702c
PC=00000394, ---
PC=000002a0, REG[15]=00000010
PC=000002a4, REG[13]=0000f7e4
PC=000002a8, REG[14]=0000f3e4
PC=000002ac, REG[10]=0000702c
PC=000002b0, ---
PC=000002b4, ---
PC=000002b8, REG[27]=0000000a
PC=000002bc, REG[ 9]=00000028
PC=000002c0, ---
PC=00000284, REG[ 1]=00000284
PC=00000288, REG[ 1]=0000028c
PC=00000340, REG[15]=00001000
PC=00000344, REG[16]=00000400
PC=00000348, REG[11]=4c958000
PC=0000034c, REG[11]=4c957f2d
PC=00000350, REG[13]=4c0d9e0d
PC=00000354, REG[14]=40f7702c
PC=00000358, REG[15]=f95e3b49
PC=0000035c, REG[12]=f95e3b4a
PC=00000360, REG[15]=00000000
PC=00000364, ---
PC=00000368, REG[12]=5851f000
PC=0000036c, REG[12]=5851f42d
PC=00000370, REG[12]=d3262c49
PC=00000374, REG[14]=85c08bbc
PC=00000378, REG[13]=16c074a0
PC=0000037c, REG[14]=58e6b805
PC=00000380, REG[14]=6fa72ca5
PC=00000384, REG[15]=6fa72ca5
PC=00000388, REG[10]=df4e594a
PC=0000038c, ---
PC=00000390, REG[10]=6fa72ca5
PC=00000394, ---
PC=0000028c, REG[15]=0000fbe8
PC=00000290, REG[10]=00002ca5
PC=00000294, ---
PC=00000298, REG[ 1]=00000298
PC=0000029c, REG[ 1]=000002a0
PC=00000340, REG[15]=00001000
PC=00000344, REG[16]=00000400
PC=00000348, REG[11]=4c958000
PC=0000034c, REG[11]=4c957f2d
PC=00000350, REG[13]=f95e3b4a
PC=00000354, REG[14]=6fa72ca5
PC=00000358, REG[15]=0f0c2202
PC=0000035c, REG[12]=0f0c2203
PC=00000360, REG[15]=00000000
PC=00000364, ---
PC=00000368, REG[12]=5851f000
PC=0000036c, REG[12]=5851f42d
PC=00000370, REG[12]=d87cf402
PC=00000374, REG[14]=8791b401
PC=00000378, REG[13]=4a999954
PC=0000037c, REG[14]=600ea803
PC=00000380, REG[14]=aaa84157
PC=00000384, REG[15]=aaa84157
PC=00000388, REG[10]=555082ae
PC=0000038c, ---
PC=00000390, REG[10]=2aa84157
PC=00000394, ---
PC=000002a0, REG[15]=00000010
PC=000002a4, REG[13]=0000f7e8
PC=000002a8, REG[14]=0000f3e8
PC=000002ac, REG[10]=00004157
PC=000002b0, ---
PC=000002b4, ---
PC=000002b8, REG[27]=0000000b
PC=000002bc, REG[ 9]=0000002c
PC=000002c0, ---
PC=00000284, REG[ 1]=00000284
PC=00000288, REG[ 1]=0000028c
PC=00000340, REG[15]=00001000
PC=00000344, REG[16]=00000400
PC=00000348, REG[11]=4c958000
PC=0000034c, REG[11]=4c957f2d
PC=00000350, REG[13]=0f0c2203
PC=00000354, REG[14]=aaa84157
PC=00000358, REG[15]=59c07787
PC=0000035c, REG[12]=59c07788
PC=00000360, REG[15]=00000000
PC=00000364, ---
PC=00000368, REG[12]=5851f000
PC=0000036c, REG[12]=5851f42d
PC=00000370, REG[12]=007fd687
PC=00000374, REG[14]=53a0a54b
PC=00000378, REG[13]=048063a2
PC=0000037c, REG[14]=54207bd2
PC=00000380, REG[14]=58a0df74
PC=00000384, REG[15]=58a0df74
PC=00000388, REG[10]=b141bee8
PC=0000038c, ---
PC=00000390, REG[10]=58a0df74
PC=00000394, ---
PC=0000028c, REG[15]=0000fbec
PC=00000290, REG[10]=0000df74
PC=00000294, ---
PC=00000298, REG[ 1]=00000298
PC=0000029c, REG[ 1]=000002a0
PC=00000340, REG[15]=00001000
PC=00000344, REG[16]=00000400
PC=00000348, REG[11]=4c958000
PC=0000034c, REG[11]=4c957f2d
PC=00000350, REG[13]=59c07788
PC=00000354, REG[14]=58a0df74
PC=00000358, REG[15]=34497ae8
PC=0000035c, REG[12]=34497ae9
PC=00000360, REG[15]=00000000
PC=00000364, ---
PC=00000368, REG[12]=5851f000
PC=0000036c, REG[12]=5851f42d
PC=00000370, REG[12]=cacaa2e8
PC=00000374, REG[14]=e1a5d364
PC=00000378, REG[13]=1ad98d18
PC=0000037c, REG[14]=ac70764c
PC=00000380, REG[14]=c74a0364
PC=00000384, REG[15]=c74a0364
PC=00000388, REG[10]=8e9406c8
PC=0000038c, ---
PC=00000390, REG[10]=474a0364
PC=00000394, ---
PC=000002a0, REG[15]=00000010
PC=000002a4, REG[13]=0000f7ec
PC=000002a8, REG[14]=0000f3ec
PC=000002ac, REG[10]=00000364
